1,4914236.70,1403620.48,106.49,SETUP
2,4914236.70,1403620.48,106.48,SETUP
3,4914236.70,1403620.48,106.48,SETUP
4,4914237.45,1403619.91,106.65,REF497STH
5,4914237.10,1403619.96,106.23,REF2-497STH
6,4914236.36,1403620.53,106.22,REF2-497STH
700,4914236.35,1403620.54,106.22,REF2-497STH
701,4914236.35,1403620.54,106.21,ROV497
